epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.89917,0.9035,4.1553,0.93091,0.00222,0.66667,0.00386,0.00232,0.71826,4.17903,0.90751,2e-05,2e-05,2e-05
2,7.13905,0.85528,4.11115,0.97518,0.00222,0.66667,0.00439,0.00292,0.74275,4.13088,0.90553,5.91514e-05,5.91514e-05,5.91514e-05
3,10.1507,0.6043,3.81178,0.90238,0.00222,0.66667,0.00449,0.00373,0.70387,4.10868,0.8791,9.71714e-05,9.71714e-05,9.71714e-05
4,13.2736,1.0442,3.54728,0.98845,0.00333,1,0.00918,0.00749,0.62454,4.07943,0.86469,0.00013406,0.00013406,0.00013406
5,16.2017,0.87475,2.5869,0.93754,0.00333,1,0.00982,0.00833,0.61529,4.01756,0.86151,0.000169817,0.000169817,0.000169817
6,19.4141,1.12863,2.21765,0.95609,0.00333,1,0.00988,0.00839,0.65619,3.94433,0.87115,0.000204443,0.000204443,0.000204443
7,22.5028,0.70599,1.35479,0.82293,0.00333,1,0.00995,0.00811,0.71992,3.8651,0.87988,0.000237937,0.000237937,0.000237937
8,25.8726,0.80451,1.40589,0.9197,0.00333,1,0.00985,0.00752,0.72367,3.84246,0.87416,0.0002703,0.0002703,0.0002703
9,29.4052,0.74133,1.62912,0.9214,0.00333,1,0.00992,0.00724,0.76932,3.82482,0.88426,0.000301531,0.000301531,0.000301531
10,35.2231,0.66697,1.65685,0.8245,0.00333,1,0.00979,0.00729,0.71485,3.79235,0.88442,0.000331631,0.000331631,0.000331631
11,39.8978,0.78575,1.2539,0.82024,0.00333,1,0.00975,0.00712,0.71427,3.82318,0.88775,0.0003606,0.0003606,0.0003606
12,44.7462,0.71803,1.96226,0.87408,0.00333,1,0.00979,0.007,0.78693,3.77373,0.91539,0.000388437,0.000388437,0.000388437
13,49.3542,0.79246,1.5994,0.83934,0.00333,1,0.01026,0.0068,0.89907,3.79473,0.9351,0.000415143,0.000415143,0.000415143
14,54.8798,0.84543,1.714,0.88709,0.00333,1,0.00982,0.00616,0.90032,3.82185,0.91911,0.000440717,0.000440717,0.000440717
15,60.1533,0.84442,1.67578,0.87272,0.00333,1,0.00982,0.00616,0.90032,3.82185,0.91911,0.00046516,0.00046516,0.00046516
16,64.957,0.74512,1.39426,0.84967,0.00333,1,0.26901,0.23132,0.93734,3.85205,0.91098,0.000488471,0.000488471,0.000488471
17,69.9933,0.98968,1.6769,0.95348,0.00333,1,0.26884,0.25218,0.82717,3.77663,0.89801,0.000510651,0.000510651,0.000510651
18,74.8947,0.77474,1.35021,0.9212,0.00333,1,0.26884,0.25218,0.82717,3.77663,0.89801,0.0005317,0.0005317,0.0005317
19,79.547,0.62552,1.40393,0.83732,0.00333,1,0.13573,0.12568,0.72643,3.71804,0.88089,0.000551617,0.000551617,0.000551617
20,84.5097,0.58945,1.31824,0.88266,0.00333,1,0.08566,0.07887,0.69754,3.73374,0.88123,0.000570403,0.000570403,0.000570403
21,89.2262,0.68344,1.09879,0.85903,0.00333,1,0.08566,0.07887,0.69754,3.73374,0.88123,0.000588057,0.000588057,0.000588057
22,94.264,0.54473,1.08898,0.81529,0.00333,1,0.02983,0.02535,0.76063,3.95969,0.89117,0.00060458,0.00060458,0.00060458
23,99.4181,0.50398,1.65083,0.79342,0.00333,1,0.08053,0.05845,0.82706,3.8674,0.91683,0.000619971,0.000619971,0.000619971
24,104.033,0.82439,1.37391,0.85664,0.00333,1,0.08053,0.05845,0.82706,3.8674,0.91683,0.000634231,0.000634231,0.000634231
25,108.527,0.75325,1.24956,0.89624,0.00333,1,0.16858,0.12401,0.79518,3.73643,0.92137,0.00064736,0.00064736,0.00064736
26,113.37,0.78906,1.35942,0.88074,0.00333,1,0.16858,0.12401,0.79518,3.73643,0.92137,0.000659357,0.000659357,0.000659357
27,118.272,0.81825,1.27581,0.97619,0.00333,1,0.13532,0.11217,0.78464,3.56191,0.9053,0.000670223,0.000670223,0.000670223
28,122.879,0.67539,1.1912,0.897,0.00333,1,0.13532,0.11217,0.78464,3.56191,0.9053,0.000679957,0.000679957,0.000679957
29,128.045,0.71497,1.08089,0.85974,0.00333,1,0.1131,0.09368,0.81384,3.56442,0.89956,0.00068856,0.00068856,0.00068856
